Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3223180;Pinus;10,2;431,78;25,2;4,05;3,1;0,50;0,1;0,12;N/A;N/A;14,4;0,06;N/A;0,68
3223181;Picea pungens;5,8;106,70;6,5;1,05;0,7;0,12;0,0;0,04;N/A;N/A;5,2;0,02;N/A;0,18
3223182;Pinus;9,6;230,77;21,8;3,51;2,9;0,46;0,1;0,11;N/A;N/A;12,8;0,05;N/A;0,62
3223183;Picea abies;5,5;87,11;8,9;1,43;0,7;0,12;0,0;0,06;N/A;N/A;7,4;0,03;N/A;0,21
3223184;Pinus strobus;11,8;483,64;12,8;2,06;1,8;0,30;0,1;0,15;N/A;N/A;18,2;0,08;N/A;0,53
3223185;Picea abies;6,7;129,27;11,6;1,86;1,0;0,16;0,0;0,07;N/A;N/A;8,8;0,04;N/A;0,27
3223186;Picea abies;9,3;249,06;20,4;3,28;1,5;0,24;0,1;0,13;N/A;N/A;15,9;0,07;N/A;0,44
3223187;Pinus;4,8;57,69;4,3;0,69;1,1;0,18;0,0;0,03;N/A;N/A;4,1;0,02;N/A;0,23
3223189;Picea abies;9,3;249,06;20,4;3,28;1,5;0,24;0,1;0,13;N/A;N/A;15,9;0,07;N/A;0,44
3223190;Picea abies;4,8;66,35;7,7;1,23;0,6;0,10;0,0;0,06;N/A;N/A;6,9;0,03;N/A;0,18
3223191;Picea abies;3,9;56,28;6,4;1,04;0,4;0,07;0,0;0,05;N/A;N/A;6,2;0,03;N/A;0,15
3223192;Picea abies;5,5;87,11;8,9;1,43;0,7;0,12;0,0;0,06;N/A;N/A;7,4;0,03;N/A;0,21
3223193;Pinus;4,8;57,69;4,3;0,69;1,1;0,18;0,0;0,03;N/A;N/A;4,1;0,02;N/A;0,23
